S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
714,TCA,Helix DNA Technologies,,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,TCA,StoreNetware Systems . ,,,Technology,Technology Hardware & Equipment,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,TCA,Hoopz Planet Info Ptv. ,,,Technology,Software & Computer Services,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,TCA,TRUE FOOD,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,TCA,Happy LearNing center,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,TCA,"SemanticMD, Inc.",,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,TCA,fractals,,,Technology,Technology Hardware & Equipment,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,TCA,Chaos Energy Labs,,,Technology,Technology Hardware & Equipment,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,TCA,Millrice Enterprises,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,TCA,Sumiran Spiritual Services   (Online Prasad),,,Consumer_services,Travel and Leisure,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,TCA,Sumiran Spiritual Services  ,,,,,Consumer products and services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,TCA,RedCarpet / Cognate Analytics & Technology . ,,,Consumer_services,Retail,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,TCA,Tejosma technologies . ,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,TCA,Skanda life sciences . ,,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,TCA,AgroFeast Produce India  ,,,,,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,TCA,Arun,,,,,Consumer products and services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,TCA,SourceEdge Software Technologies . ,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,TCA,Codeart Research,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,TCA,G3 Softtech . ,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,TCA,Duefee,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,TCA,Arpus Tech,,,,,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,TCA,CoralScreen,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,TCA,Virescent Power System,,,,,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,TCA,House Proud  ,,,,,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,TCA,BUGWORKS,,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,TCA,Blitzkrieg Technology  ,,,,,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,TCA,GMM Net Services . ,,,,,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,TCA,ClassRebels.com,,,,,Edu-tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,TCA,Dietkart.com,,,,,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,TCA,Eventjini (Eventus Software  ),,,,,Consumer products and services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,TCA,MRPL,,,,,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,TCA,BoltOn Concepts LLP,,,,,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,TCA,WhiteCross Clinic,,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,TCA,Reqstr-Lantern Fox. CO product,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,TCA,Vana Vidyut  ,,,,,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,TCA,vakilsearch legal solutions . ,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,TCA,Majaaa.com,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,TCA,Nisarga Fresh,,,,,Consumer products and services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,TCA,Dayow foods,,,,,Consumer products and services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,TCA,justarchon (Smartstay),,,,,Consumer products and services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,TCA,PCTECHSQUAD Technologies . ,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,TCA,Banyan Nation,,,,,Hyperlocal and Logistics,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,TCA,wallpost,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,TCA,Traveling Spoon,,,,,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,TCA,Genesis Online Commerce,,,,,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,TCA,Waveaxis,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,TCA,Dvano Shoes  ,,,,,Consumer products and services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,TCA,Morish Group,,,,,Hyperlocal and Logistics,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,TCA,www.duefee.com,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,TCA,Display Solutions,,,,,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,TCA,Gospell,,,,,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Start up Centre,Simpleroute.in,,A platform that gives insiders perspective on the companies.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Software solutions,,,New Delhi,,Incubation,SaaS,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Start up Centre,,,People get restaurant deals and also get a chance to participate in a T.V show.,Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Tv shows,,,Kakinada,Andhra Pradesh,Incubation,Broadcasting,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Start up Centre,BookMane,,"Our product users are the lecturers/students who are undergoing their Under-graduation courses, we want users to be enabled in seeing the right information and learn quickly.   ",Technology,Software & Computer Services,Edu-Tech,,B2C,Collaborative Learning,,,Bengaluru,Karnataka,Incubation,Online courses and resources,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Start up Centre,,,It is a platform which helps doctors manage his appointments.,Healthcare,Healthcare,Health-Tech,,B2C,Online doctor appointment,,,Coimbatore,Tamil Nadu,Incubation,Telemedicine and Online health care platforms,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Start up Centre,,,"This is a platform which helps an individual to make decisions easier, by consolidating the previous reviews.",Consumer_services,Retail,Social Platforms,,B2C,Compares prices and quality of all products,,,Noida,Uttar Pradesh,Incubation,Website for information,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Start up Centre,E-nose,,E-nose takes a work of a sniffer dog that would smell the theft area and find out the burglar. E-nose does the same task as a dog smelling in the area and comparing this smell with the smell of the suspected persons. Therefore results will be appropriate. ,Technology,Software & Computer Services,Software and Internet Services,,B2B,Sniffer dog activities,,,Madurai,Tamil Nadu,Incubation,SaaS,,,,Fund Raising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Start up Centre,,,Connects mentors and mentees. It also acts as a ground for career development.,Technology,Software & Computer Services,Edu-Tech,,B2C,Career development,Connects mentors and mentees,,Chennai,Tamil Nadu,Incubation,Placement and Employment related services,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,Start up Centre,Space Huddle,,"Space Huddle is a simple service that helps people find Space ,find People who need Space, in an creative format based on the preferences they fill out initially. ",Consumer_services,Travel and Leisure,Social Platforms,,B2C,Matchmaking,,,Hyderabad,Telangana,Incubation,Connect People for Dating and Matrimonial,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Start up Centre,,,Everyone like to send and receive gifts for any occasion. We have combination of features through which it would become easier for users to send gifts.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Collection of gifts,,,Bharuch,Gujarat,Incubation,Personal Products,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Start up Centre,Gun Point,,   Gunpoint offers SMS + App based platform for retail stores to solve the problem of customer engagement using loyalty programs.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Communications,Mobile app,,New Delhi,Delhi,Incubation,Communication services,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Start up Centre,,,"The platform is for entrepreneurs to propose an idea , exhibit their startup to other entrepreneurs and investors, get feedback and also refine their idea to get the funding they need.",Financials,Financial services,Fin-Tech and Payments,,B2B,Investment services,,,Chennai,Tamil Nadu,Incubation,Investment advisory and consultancy and financial consumer services,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Start up Centre,,,"Our product will help event organizers add their events and get all their event data such as tweets,photos,videos,slides etc archived in one place. Also events will have a real time dashboard where event attendees can interact as well as check the latest happenings.",Industrials,Industrial goods and services,"Media, Advertising and Gaming",,B2B,Advertising portal,Advertise events,,Mangaluru,Karnataka,Incubation,Advertising,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,Start up Centre,,,Single login required.  Time consumption less in accessing site seamlessly.  Easy communicate and collaborate with peers.  ,Technology,Software & Computer Services,Software and Internet Services,,B2C,Single login platform,,,Mumbai,Maharashtra,Incubation,Software services for consumers,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Start up Centre,GoEasy,,Goeasy mobile city guide is an offline mobile local search. ,Technology,Software & Computer Services,Consumer Products and Services,,B2C,Mobile yellow pages,Offline search,,Chennai,Tamil Nadu,Incubation,Specialized Consumer Services,,,,Fund Raising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Start up Centre,,,"It is a fact that people love gaming, and by introducing the element of ""role"" we believe that we can create a New Wave of Social games.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Gaming,,,Mysore,Karnataka,Incubation,Games and Gaming enablers,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Start up Centre,,,"For customers: to interact with brands and shops and be recognized not just as a customer.For shops: to create one-one long term relationships, which means assets in terms of: higher and efficient sales, refined offers and improved products, feedbacked processes and a 24/7 contact with your most valuable customers.",Consumer_services,Media,Industrial and Business Products and Services,,B2B,Business development,,,Hyderabad,Telangana,Incubation,Business Support Services,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Start up Centre,,,The mobile/handheld technology will complement activity kits . There are many kits and apps available today but a low cost solution which adapts itself to the user is missing .Our apps will be open source .It works with a cognitive assessment engine using Artificial intelligence . ,Technology,Software & Computer Services,Edu-Tech,,B2B,Low cost educational kits,,,Mumbai,Maharashtra,Incubation, Educational products and Services,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Start up Centre,,,"1. Book readers out pass book lovers in our ecosystem  2. Indians are driven by monetary benefit   3. Flipkart created an availability for books, we create a value for buying books",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Books market,,,Chennai,Tamil Nadu,Incubation,Books and Stationary,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Start up Centre,,,We are making a digital connectivity between the intended minds and get the profit out of fit.,Industrials,Industrial goods and services,Software and Internet Services,,B2C,Digitial connectivity between people,,,Chennai,Tamil Nadu,Incubation,Communication services,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,Start up Centre,,,"The platform intends to be the one stop website for finding room mates ,land lords and apartment deals in Indian Cities.",Technology,Software & Computer Services,Consumer Products and Services,,B2C,Real Estate services,LandLord,,Bengaluru,Karnataka,Incubation,Specialized Consumer Services,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Start up Centre,Tookitaki,,"Their expertise in building individual user social profiles would benefit event managers in identifying specific demographics and conduct targeted promotional campaigns, generating increased revenue. ",Consumer_services,Retail,Consumer Products and Services,,B2C,Events,,,Kolkata,West Bengal,Incubation,Event Management,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Start up Centre,,,"Photography and Local Travel are the most popular and socially integrated hobbies of people across the globe. Such hobbyists form groups and clubs to go out on short trips and meetups, wherein not only they can hangout together with their friends and like-minded people, but also they can spend time on their hobby and advance with it. The platform helps organise it.",Consumer_services,Travel and Leisure,Consumer Products and Services,,B2C,Organises photwalks,Hobby,,Gurgaon,Delhi,Incubation,Event Management,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Start up Centre,,,India is the capital of fake drugs manufactured in the whole world. The platform works on identifying them.,Healthcare,Healthcare,Health-Tech,,B2C,Identifies fake drugs,,,Mumbai,Maharashtra,Incubation,Healthcare Analytics and Software,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Start up Centre,,,"Product is built to accomodate real time scenarios of taking notes and easily share them across. It captures & organizes information and makes it easy to retrieve & process it later. With its real time sharing, it can used by multiple people for taking notes at the same time.    ",Technology,Software & Computer Services,Edu-Tech,,B2C,Realtime note taking,,,Chennai,Tamil Nadu,Incubation,Collaboration and exchange portals,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,Start up Centre,,,"We propose a Self Publishing Platform for every writer in India . Many writers (like me ) are not able to publish their books, poems, stories because they think it is difficult task for them .",Consumer_services,Retail,Edu-Tech,,B2C,Publishing platform,,,Chennai,Tamil Nadu,Incubation,Social ventures in education,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,Start up Centre,,, CoAct is designed to be a life tool that could effectively replace many products of communication as it is an end to end solution to complete the purpose which initiated the communication initially.,Technology,Software & Computer Services,Software and Internet Services,,B2C,Communications,,,Hyderabad,Telangana,Incubation,Communication services,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Start up Centre,,,"They provide a hassle free , awesome user experience to customers and brands.Customers can track all their brand updates , earn and redeem brandbuckz easily and do everything with just a mobile number.",Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online shopping,,,Mumbai,Maharashtra,Incubation,Fashion,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Start up Centre,Qonnect,," Qonnect will enable to, add the person in front of you in whatever social platforms you want, share all the contact details and also some other custom details that you may want to introduce, bundle it in the app and keep it ready so that whenever you are ready to share you do it in a second.",Technology,Software & Computer Services,Social Platforms,,B2C,Connect with a person in all social platforms,Mobile app,,Bengaluru,Karnataka,Incubation,Connect People for Social Activities,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Start up Centre,,,This is an idea to interact with your digital book and you can experience enjoyment since lot of experts are there to guide you.,Technology,Software & Computer Services,Edu-Tech,,B2C,Digital book,Innovation in education,,Chennai,Tamil Nadu,Incubation,Peer teaching and teaching innovations,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,Start up Centre,,,The students will engage with robots for a long time and this helps them to learn math and science from robots through a GUI.This is the USP/IP of the company . ,Technology,Technology Hardware & Equipment,Edu-Tech,,B2C,Robots teach maths and science,Innovation in education,,Bhubaneswar,,Incubation,Peer teaching and teaching innovations,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Start up Centre,,, The product will help businesses to understand their customer's dimensions. Unlike website analytics frameworks which gives only the reports our product will understand the value & need of every customer and take action based on rules mentioned by the business owner.  ,Consumer_services,Media,Industrial and Business Products and Services,,B2B,Business development,,,Chennai,Tamil Nadu,Incubation,Buisness and Management consultancy,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Start up Centre,,,It’s a platform which lets you shop online.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online shopping ,,,Hyderabad,Telangana,Incubation,Fashion,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,Start up Centre,,,Comes in the second level of maslows hierarchy of needs.,Healthcare,Healthcare,Health-Tech,,B2C,Fitness,,,Chennai,Tamil Nadu,Incubation,Fitness & Wellness,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Start up Centre,Shopandme,,This platform helps tier 2 and tier 3 cities to get all products.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Online Marketplace,,,Rayagada,Odisha,Incubation,Marketplace,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Start up Centre,Trip Tern,,"Trip Tern, based not only on the initial database but also the feedback and trip reviews from the other users, has an extensive list of places to be explored in some of the remotest places of India.",Consumer_services,Travel and Leisure,Consumer Products and Services,,B2C,Plans trip based on reviews,Travel planner,,Gurgaon,Haryana,Incubation,Travel & Tourism,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Start up Centre,,,It is a platform which helps people buy art products.,Technology,Software & Computer Services,Consumer Products and Services,,B2C,Selling art works online,,,Hyderabad,Telangana,Incubation,Household Products,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Start up Centre,,,The product enables decision-makers to have the right information at the right time. ,Technology,Software & Computer Services,Software and Internet Services,,B2C,Software solutions,,,Thiruvalla,Kerala,Incubation,SaaS,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Start up Centre,,,It is a platform which helps people find doctors and book appointments.,Healthcare,Healthcare,Health-Tech,,B2C,Online doctor appointment,,,Chennai,Tamil Nadu,Incubation,Telemedicine and Online health care platforms,,,,Fund Raising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Start up Centre,RKS,,The product is to provide free wifi hotspot on board premium busses between metro cities and taxies. It is free for the end users(passengers) but the bus operators have to pay for the initial equipment and and the Internet usage charges.,Consumer_services,Travel and Leisure,Software and Internet Services,,B2B,Free wifi for passengers,,,Coimbatore,Tamil Nadu,Incubation,Communication services,,,,Prototype ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Start up Centre,,,RKS will provide delivery boys to customers to do their outdoor work as and when required.  Delivery boys will be available 24 hours.   ,Utilities,Utilities,Hyperlocal and Logistics,,B2C,Provides delivery boys,Delivery solutions,,New Delhi,Delhi,Incubation,Delivery services and logistics,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Start up Centre,,,The platform produces less weight products.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Less weight products,,,Chennai,Tamil Nadu,Incubation,Food Products,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Start up Centre,,,This platform helps people to keep track of things.,Technology,Software & Computer Services,Consumer Products and Services,,B2C,Social calendar event,,,Chennai,Tamil Nadu,Incubation,Event Management,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Start up Centre,,,"Those who need his mobile data to be organized, backup-ed and secured while data generation will use these apps. These apps will give quick and easy access to mobile data.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Mobile application,Mobile Data Backup,,pune,Maharashtra,Incubation,DevOps,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,Start up Centre,,,The platform that finds and discovers tech DIY parts/products that can be used in the physical prototype.,Consumer_goods,personal and household goods,Edu-Tech,,B2C,Prototyping Tech DIY,,,Chennai,Tamil Nadu,Incubation, IT and Mobile solutions for Education delivery,,,,Business plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,Start up Centre,IslandBridge,,At islandBridge we are creating a tool for Software Product builders.  ,Consumer_goods,personal and household goods,Software and Internet Services,,B2B,Software solutions,,,Mumbai,Maharashtra,Incubation,IT Operations,,,,"MVP Launched, and Building Initial Traction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
